,ID,Name,Age,Nationality,Overall,Wage,Reactions,Composure,Vision,ShortPassing,BallControl,Photo,Flag
14,215914,N. Kanté,27.0,France,89,225000,93.0,85.0,79.0,86.0,80.0,https://cdn.sofifa.org/players/4/19/215914.png,https://cdn.sofifa.org/flags/18.png
15,211110,P. Dybala,24.0,Argentina,89,205000,86.0,84.0,87.0,87.0,92.0,https://cdn.sofifa.org/players/4/19/211110.png,https://cdn.sofifa.org/flags/52.png
16,202126,H. Kane,24.0,England,89,205000,91.0,89.0,80.0,80.0,84.0,https://cdn.sofifa.org/players/4/19/202126.png,https://cdn.sofifa.org/flags/14.png
17,194765,A. Griezmann,27.0,France,89,145000,90.0,87.0,83.0,83.0,90.0,https://cdn.sofifa.org/players/4/19/194765.png,https://cdn.sofifa.org/flags/18.png
18,192448,M. ter Stegen,26.0,Germany,89,240000,85.0,69.0,69.0,36.0,18.0,https://cdn.sofifa.org/players/4/19/192448.png,https://cdn.sofifa.org/flags/21.png
19,192119,T. Courtois,26.0,Belgium,89,240000,84.0,66.0,44.0,33.0,23.0,https://cdn.sofifa.org/players/4/19/192119.png,https://cdn.sofifa.org/flags/7.png
20,189511,Sergio Busquets,29.0,Spain,89,315000,87.0,90.0,87.0,89.0,88.0,https://cdn.sofifa.org/players/4/19/189511.png,https://cdn.sofifa.org/flags/45.png
21,179813,E. Cavani,31.0,Uruguay,89,200000,91.0,82.0,77.0,78.0,82.0,https://cdn.sofifa.org/players/4/19/179813.png,https://cdn.sofifa.org/flags/60.png
22,167495,M. Neuer,32.0,Germany,89,130000,84.0,70.0,70.0,55.0,48.0,https://cdn.sofifa.org/players/4/19/167495.png,https://cdn.sofifa.org/flags/21.png
23,153079,S. Agüero,30.0,Argentina,89,300000,90.0,90.0,83.0,81.0,89.0,https://cdn.sofifa.org/players/4/19/153079.png,https://cdn.sofifa.org/flags/52.png
24,138956,G. Chiellini,33.0,Italy,89,215000,82.0,84.0,50.0,59.0,57.0,https://cdn.sofifa.org/players/4/19/138956.png,https://cdn.sofifa.org/flags/27.png
25,231747,K. Mbappé,19.0,France,88,100000,87.0,86.0,82.0,82.0,91.0,https://cdn.sofifa.org/players/4/19/231747.png,https://cdn.sofifa.org/flags/18.png
26,209331,M. Salah,26.0,Egypt,88,255000,91.0,91.0,82.0,82.0,88.0,https://cdn.sofifa.org/players/4/19/209331.png,https://cdn.sofifa.org/flags/111.png
27,200145,Casemiro,26.0,Brazil,88,285000,84.0,84.0,77.0,85.0,78.0,https://cdn.sofifa.org/players/4/19/200145.png,https://cdn.sofifa.org/flags/54.png
28,198710,J. Rodríguez,26.0,Colombia,88,315000,85.0,87.0,89.0,89.0,90.0,https://cdn.sofifa.org/players/4/19/198710.png,https://cdn.sofifa.org/flags/56.png
29,198219,L. Insigne,27.0,Italy,88,165000,83.0,83.0,87.0,85.0,93.0,https://cdn.sofifa.org/players/4/19/198219.png,https://cdn.sofifa.org/flags/27.png
30,197781,Isco,26.0,Spain,88,315000,77.0,86.0,89.0,89.0,95.0,https://cdn.sofifa.org/players/4/19/197781.png,https://cdn.sofifa.org/flags/45.png
31,190460,C. Eriksen,26.0,Denmark,88,205000,88.0,88.0,91.0,91.0,91.0,https://cdn.sofifa.org/players/4/19/190460.png,https://cdn.sofifa.org/flags/13.png
32,189242,Coutinho,26.0,Brazil,88,340000,83.0,85.0,90.0,88.0,92.0,https://cdn.sofifa.org/players/4/19/189242.png,https://cdn.sofifa.org/flags/54.png
33,188567,P. Aubameyang,29.0,Gabon,88,265000,87.0,86.0,77.0,77.0,82.0,https://cdn.sofifa.org/players/4/19/188567.png,https://cdn.sofifa.org/flags/115.png
34,178603,M. Hummels,29.0,Germany,88,160000,87.0,91.0,79.0,81.0,81.0,https://cdn.sofifa.org/players/4/19/178603.png,https://cdn.sofifa.org/flags/21.png
35,176676,Marcelo,30.0,Brazil,88,285000,88.0,86.0,82.0,84.0,92.0,https://cdn.sofifa.org/players/4/19/176676.png,https://cdn.sofifa.org/flags/54.png
36,173731,G. Bale,28.0,Wales,88,355000,85.0,86.0,79.0,85.0,85.0,https://cdn.sofifa.org/players/4/19/173731.png,https://cdn.sofifa.org/flags/50.png
37,167948,H. Lloris,31.0,France,88,150000,85.0,65.0,30.0,50.0,34.0,https://cdn.sofifa.org/players/4/19/167948.png,https://cdn.sofifa.org/flags/18.png
38,167664,G. Higuaín,30.0,Argentina,88,245000,86.0,86.0,74.0,75.0,85.0,https://cdn.sofifa.org/players/4/19/167664.png,https://cdn.sofifa.org/flags/52.png
39,164240,Thiago Silva,33.0,Brazil,88,165000,82.0,81.0,72.0,80.0,80.0,https://cdn.sofifa.org/players/4/19/164240.png,https://cdn.sofifa.org/flags/54.png
40,162835,S. Handanovič,33.0,Slovenia,88,110000,83.0,69.0,41.0,36.0,16.0,https://cdn.sofifa.org/players/4/19/162835.png,https://cdn.sofifa.org/flags/44.png
41,1179,G. Buffon,40.0,Italy,88,77000,79.0,70.0,50.0,37.0,28.0,https://cdn.sofifa.org/players/4/19/1179.png,https://cdn.sofifa.org/flags/27.png
42,205600,S. Umtiti,24.0,France,87,205000,82.0,82.0,58.0,81.0,77.0,https://cdn.sofifa.org/players/4/19/205600.png,https://cdn.sofifa.org/flags/18.png
43,201399,M. Icardi,25.0,Argentina,87,130000,88.0,85.0,64.0,73.0,81.0,https://cdn.sofifa.org/players/4/19/201399.png,https://cdn.sofifa.org/flags/52.png
44,201024,K. Koulibaly,27.0,Senegal,87,115000,80.0,78.0,43.0,66.0,60.0,https://cdn.sofifa.org/players/4/19/201024.png,https://cdn.sofifa.org/flags/136.png
45,195864,P. Pogba,25.0,France,87,210000,81.0,87.0,87.0,86.0,90.0,https://cdn.sofifa.org/players/4/19/195864.png,https://cdn.sofifa.org/flags/18.png
46,193041,K. Navas,31.0,Costa Rica,87,195000,84.0,67.0,68.0,30.0,19.0,https://cdn.sofifa.org/players/4/19/193041.png,https://cdn.sofifa.org/flags/72.png
47,192505,R. Lukaku,25.0,Belgium,87,230000,86.0,83.0,76.0,77.0,72.0,https://cdn.sofifa.org/players/4/19/192505.png,https://cdn.sofifa.org/flags/7.png
48,192387,C. Immobile,28.0,Italy,87,115000,87.0,81.0,65.0,74.0,83.0,https://cdn.sofifa.org/players/4/19/192387.png,https://cdn.sofifa.org/flags/27.png
49,189332,Jordi Alba,29.0,Spain,87,250000,83.0,79.0,70.0,84.0,84.0,https://cdn.sofifa.org/players/4/19/189332.png,https://cdn.sofifa.org/flags/45.png
50,175943,D. Mertens,31.0,Belgium,87,135000,88.0,81.0,83.0,82.0,89.0,https://cdn.sofifa.org/players/4/19/175943.png,https://cdn.sofifa.org/flags/7.png
51,172871,J. Vertonghen,31.0,Belgium,87,155000,84.0,83.0,68.0,79.0,76.0,https://cdn.sofifa.org/players/4/19/172871.png,https://cdn.sofifa.org/flags/7.png
52,171877,M. Hamšík,30.0,Slovakia,87,125000,88.0,84.0,86.0,88.0,87.0,https://cdn.sofifa.org/players/4/19/171877.png,https://cdn.sofifa.org/flags/43.png
53,168651,I. Rakitić,30.0,Croatia,87,260000,77.0,81.0,86.0,87.0,87.0,https://cdn.sofifa.org/players/4/19/168651.png,https://cdn.sofifa.org/flags/10.png
54,152729,Piqué,31.0,Spain,87,240000,84.0,86.0,62.0,81.0,78.0,https://cdn.sofifa.org/players/4/19/152729.png,https://cdn.sofifa.org/flags/45.png
55,222492,L. Sané,22.0,Germany,86,195000,81.0,78.0,82.0,79.0,85.0,https://cdn.sofifa.org/players/4/19/222492.png,https://cdn.sofifa.org/flags/21.png
56,218667,Bernardo Silva,23.0,Portugal,86,180000,82.0,85.0,86.0,85.0,91.0,https://cdn.sofifa.org/players/4/19/218667.png,https://cdn.sofifa.org/flags/38.png
57,210257,Ederson,24.0,Brazil,86,125000,86.0,70.0,67.0,56.0,37.0,https://cdn.sofifa.org/players/4/19/210257.png,https://cdn.sofifa.org/flags/54.png
58,208722,S. Mané,26.0,Senegal,86,195000,86.0,80.0,82.0,79.0,86.0,https://cdn.sofifa.org/players/4/19/208722.png,https://cdn.sofifa.org/flags/136.png
59,203376,V. van Dijk,26.0,Netherlands,86,165000,85.0,83.0,59.0,76.0,73.0,https://cdn.sofifa.org/players/4/19/203376.png,https://cdn.sofifa.org/flags/34.png
60,202652,R. Sterling,23.0,England,86,195000,87.0,77.0,77.0,84.0,87.0,https://cdn.sofifa.org/players/4/19/202652.png,https://cdn.sofifa.org/flags/14.png
61,201942,Roberto Firmino,26.0,Brazil,86,195000,86.0,87.0,85.0,86.0,88.0,https://cdn.sofifa.org/players/4/19/201942.png,https://cdn.sofifa.org/flags/54.png
62,201535,R. Varane,25.0,France,86,210000,83.0,82.0,56.0,75.0,77.0,https://cdn.sofifa.org/players/4/19/201535.png,https://cdn.sofifa.org/flags/18.png
63,199556,M. Verratti,25.0,Italy,86,135000,85.0,93.0,87.0,90.0,88.0,https://cdn.sofifa.org/players/4/19/199556.png,https://cdn.sofifa.org/flags/27.png
64,191043,Alex Sandro,27.0,Brazil,86,160000,84.0,82.0,70.0,81.0,81.0,https://cdn.sofifa.org/players/4/19/191043.png,https://cdn.sofifa.org/flags/54.png
65,190483,Douglas Costa,27.0,Brazil,86,175000,84.0,84.0,84.0,84.0,91.0,https://cdn.sofifa.org/players/4/19/190483.png,https://cdn.sofifa.org/flags/54.png
66,189596,T. Müller,28.0,Germany,86,135000,91.0,83.0,85.0,83.0,82.0,https://cdn.sofifa.org/players/4/19/189596.png,https://cdn.sofifa.org/flags/21.png
67,189509,Thiago,27.0,Spain,86,130000,84.0,85.0,86.0,90.0,90.0,https://cdn.sofifa.org/players/4/19/189509.png,https://cdn.sofifa.org/flags/45.png
68,188350,M. Reus,29.0,Germany,86,100000,87.0,84.0,86.0,86.0,86.0,https://cdn.sofifa.org/players/4/19/188350.png,https://cdn.sofifa.org/flags/21.png
69,184432,Azpilicueta,28.0,Spain,86,175000,88.0,78.0,74.0,81.0,77.0,https://cdn.sofifa.org/players/4/19/184432.png,https://cdn.sofifa.org/flags/45.png
70,184344,L. Bonucci,31.0,Italy,86,160000,84.0,86.0,74.0,77.0,75.0,https://cdn.sofifa.org/players/4/19/184344.png,https://cdn.sofifa.org/flags/27.png
71,184087,T. Alderweireld,29.0,Belgium,86,150000,86.0,81.0,67.0,79.0,74.0,https://cdn.sofifa.org/players/4/19/184087.png,https://cdn.sofifa.org/flags/7.png
72,180206,M. Pjanić,28.0,Bosnia Herzegovina,86,180000,84.0,86.0,88.0,89.0,89.0,https://cdn.sofifa.org/players/4/19/180206.png,https://cdn.sofifa.org/flags/8.png
73,177509,M. Benatia,31.0,Morocco,86,160000,82.0,82.0,47.0,65.0,64.0,https://cdn.sofifa.org/players/4/19/177509.png,https://cdn.sofifa.org/flags/129.png
74,176635,M. Özil,29.0,Germany,86,190000,84.0,82.0,91.0,89.0,90.0,https://cdn.sofifa.org/players/4/19/176635.png,https://cdn.sofifa.org/flags/21.png
75,135507,Fernandinho,33.0,Brazil,86,185000,86.0,79.0,75.0,85.0,82.0,https://cdn.sofifa.org/players/4/19/135507.png,https://cdn.sofifa.org/flags/54.png
76,41,Iniesta,34.0,Spain,86,21000,86.0,89.0,93.0,90.0,92.0,https://cdn.sofifa.org/players/4/19/41.png,https://cdn.sofifa.org/flags/45.png
77,232363,M. Škriniar,23.0,Slovakia,85,82000,81.0,80.0,57.0,70.0,67.0,https://cdn.sofifa.org/players/4/19/232363.png,https://cdn.sofifa.org/flags/43.png
78,223848,S. Milinković-Savić,23.0,Serbia,85,73000,80.0,82.0,85.0,85.0,87.0,https://cdn.sofifa.org/players/4/19/223848.png,https://cdn.sofifa.org/flags/51.png
79,220834,Marco Asensio,22.0,Spain,85,215000,82.0,83.0,84.0,83.0,85.0,https://cdn.sofifa.org/players/4/19/220834.png,https://cdn.sofifa.org/flags/45.png
80,216594,N. Fekir,24.0,France,85,92000,80.0,89.0,81.0,83.0,89.0,https://cdn.sofifa.org/players/4/19/216594.png,https://cdn.sofifa.org/flags/18.png
81,212831,Alisson,25.0,Brazil,85,115000,84.0,65.0,66.0,45.0,30.0,https://cdn.sofifa.org/players/4/19/212831.png,https://cdn.sofifa.org/flags/54.png
82,212622,J. Kimmich,23.0,Germany,85,92000,85.0,82.0,79.0,85.0,85.0,https://cdn.sofifa.org/players/4/19/212622.png,https://cdn.sofifa.org/flags/21.png
83,208421,Saúl,23.0,Spain,85,77000,82.0,83.0,82.0,85.0,85.0,https://cdn.sofifa.org/players/4/19/208421.png,https://cdn.sofifa.org/flags/45.png
84,204485,R. Mahrez,27.0,Algeria,85,205000,77.0,86.0,81.0,82.0,90.0,https://cdn.sofifa.org/players/4/19/204485.png,https://cdn.sofifa.org/flags/97.png
85,197445,D. Alaba,26.0,Austria,85,110000,84.0,79.0,77.0,82.0,83.0,https://cdn.sofifa.org/players/4/19/197445.png,https://cdn.sofifa.org/flags/4.png
86,193747,Koke,26.0,Spain,85,88000,85.0,78.0,87.0,90.0,86.0,https://cdn.sofifa.org/players/4/19/193747.png,https://cdn.sofifa.org/flags/45.png
87,193301,A. Lacazette,27.0,France,85,180000,85.0,85.0,76.0,80.0,83.0,https://cdn.sofifa.org/players/4/19/193301.png,https://cdn.sofifa.org/flags/18.png
88,192774,K. Manolas,27.0,Greece,85,96000,85.0,79.0,22.0,60.0,65.0,https://cdn.sofifa.org/players/4/19/192774.png,https://cdn.sofifa.org/flags/22.png
89,192366,N. Otamendi,30.0,Argentina,85,170000,79.0,80.0,53.0,75.0,70.0,https://cdn.sofifa.org/players/4/19/192366.png,https://cdn.sofifa.org/flags/52.png
90,189513,Parejo,29.0,Spain,85,66000,78.0,78.0,86.0,90.0,84.0,https://cdn.sofifa.org/players/4/19/189513.png,https://cdn.sofifa.org/flags/45.png
91,187961,Paulinho,29.0,Brazil,85,235000,84.0,80.0,78.0,84.0,84.0,https://cdn.sofifa.org/players/4/19/187961.png,https://cdn.sofifa.org/flags/54.png
92,186153,W. Szczęsny,28.0,Poland,85,125000,82.0,65.0,48.0,32.0,22.0,https://cdn.sofifa.org/players/4/19/186153.png,https://cdn.sofifa.org/flags/37.png
93,184941,A. Sánchez,29.0,Chile,85,215000,83.0,84.0,82.0,77.0,86.0,https://cdn.sofifa.org/players/4/19/184941.png,https://cdn.sofifa.org/flags/55.png
94,184267,Y. Brahimi,28.0,Algeria,85,28000,84.0,90.0,79.0,79.0,86.0,https://cdn.sofifa.org/players/4/19/184267.png,https://cdn.sofifa.org/flags/97.png
95,183907,J. Boateng,29.0,Germany,85,115000,82.0,84.0,75.0,75.0,70.0,https://cdn.sofifa.org/players/4/19/183907.png,https://cdn.sofifa.org/flags/21.png
96,181872,A. Vidal,31.0,Chile,85,205000,84.0,81.0,80.0,83.0,82.0,https://cdn.sofifa.org/players/4/19/181872.png,https://cdn.sofifa.org/flags/55.png
97,181458,I. Perišić,29.0,Croatia,85,110000,81.0,80.0,79.0,81.0,85.0,https://cdn.sofifa.org/players/4/19/181458.png,https://cdn.sofifa.org/flags/10.png
98,180930,E. Džeko,32.0,Bosnia Herzegovina,85,115000,83.0,83.0,74.0,77.0,84.0,https://cdn.sofifa.org/players/4/19/180930.png,https://cdn.sofifa.org/flags/8.png
99,179846,S. Khedira,31.0,Germany,85,160000,87.0,84.0,82.0,85.0,84.0,https://cdn.sofifa.org/players/4/19/179846.png,https://cdn.sofifa.org/flags/21.png
100,179844,Diego Costa,29.0,Spain,85,100000,85.0,83.0,74.0,65.0,83.0,https://cdn.sofifa.org/players/4/19/179844.png,https://cdn.sofifa.org/flags/45.png
101,178518,R. Nainggolan,30.0,Belgium,85,105000,87.0,84.0,76.0,84.0,85.0,https://cdn.sofifa.org/players/4/19/178518.png,https://cdn.sofifa.org/flags/7.png
102,171919,Naldo,35.0,Brazil,85,38000,85.0,84.0,59.0,76.0,68.0,https://cdn.sofifa.org/players/4/19/171919.png,https://cdn.sofifa.org/flags/54.png
103,170890,B. Matuidi,31.0,France,85,145000,84.0,82.0,76.0,83.0,79.0,https://cdn.sofifa.org/players/4/19/170890.png,https://cdn.sofifa.org/flags/18.png
104,168609,Miranda,33.0,Brazil,85,96000,81.0,81.0,58.0,70.0,73.0,https://cdn.sofifa.org/players/4/19/168609.png,https://cdn.sofifa.org/flags/54.png
105,165153,K. Benzema,30.0,France,85,240000,83.0,79.0,85.0,83.0,86.0,https://cdn.sofifa.org/players/4/19/165153.png,https://cdn.sofifa.org/flags/18.png
106,164169,Filipe Luís,32.0,Brazil,85,81000,85.0,88.0,70.0,80.0,83.0,https://cdn.sofifa.org/players/4/19/164169.png,https://cdn.sofifa.org/flags/54.png
107,139720,V. Kompany,32.0,Belgium,85,170000,87.0,81.0,59.0,73.0,70.0,https://cdn.sofifa.org/players/4/19/139720.png,https://cdn.sofifa.org/flags/7.png
108,120533,Pepe,35.0,Portugal,85,57000,83.0,79.0,48.0,70.0,62.0,https://cdn.sofifa.org/players/4/19/120533.png,https://cdn.sofifa.org/flags/38.png
109,41236,Z. Ibrahimović,36.0,Sweden,85,15000,82.0,90.0,79.0,79.0,84.0,https://cdn.sofifa.org/players/4/19/41236.png,https://cdn.sofifa.org/flags/46.png
110,220793,D. Sánchez,22.0,Colombia,84,105000,80.0,75.0,49.0,77.0,73.0,https://cdn.sofifa.org/players/4/19/220793.png,https://cdn.sofifa.org/flags/56.png
111,216460,J. Giménez,23.0,Uruguay,84,63000,76.0,73.0,27.0,68.0,56.0,https://cdn.sofifa.org/players/4/19/216460.png,https://cdn.sofifa.org/flags/60.png
112,212462,Alex Telles,25.0,Brazil,84,22000,83.0,80.0,74.0,83.0,82.0,https://cdn.sofifa.org/players/4/19/212462.png,https://cdn.sofifa.org/flags/54.png
113,212218,A. Laporte,24.0,France,84,135000,83.0,77.0,57.0,76.0,73.0,https://cdn.sofifa.org/players/4/19/212218.png,https://cdn.sofifa.org/flags/18.png
114,212198,Bruno Fernandes,23.0,Portugal,84,22000,84.0,83.0,86.0,85.0,85.0,https://cdn.sofifa.org/players/4/19/212198.png,https://cdn.sofifa.org/flags/38.png
115,212190,N. Süle,22.0,Germany,84,84000,79.0,72.0,30.0,78.0,63.0,https://cdn.sofifa.org/players/4/19/212190.png,https://cdn.sofifa.org/flags/21.png
116,211300,A. Martial,22.0,France,84,165000,81.0,79.0,73.0,77.0,86.0,https://cdn.sofifa.org/players/4/19/211300.png,https://cdn.sofifa.org/flags/18.png
117,211117,D. Alli,22.0,England,84,115000,85.0,86.0,85.0,85.0,85.0,https://cdn.sofifa.org/players/4/19/211117.png,https://cdn.sofifa.org/flags/14.png
118,209499,Fabinho,24.0,Brazil,84,120000,83.0,84.0,75.0,83.0,82.0,https://cdn.sofifa.org/players/4/19/209499.png,https://cdn.sofifa.org/flags/54.png
119,207865,Marquinhos,24.0,Brazil,84,90000,81.0,79.0,51.0,81.0,76.0,https://cdn.sofifa.org/players/4/19/207865.png,https://cdn.sofifa.org/flags/54.png
120,207566,William Carvalho,26.0,Portugal,84,38000,75.0,89.0,83.0,84.0,79.0,https://cdn.sofifa.org/players/4/19/207566.png,https://cdn.sofifa.org/flags/38.png
121,205498,Jorginho,26.0,Italy,84,155000,83.0,79.0,87.0,89.0,85.0,https://cdn.sofifa.org/players/4/19/205498.png,https://cdn.sofifa.org/flags/27.png
122,204970,F. Thauvin,25.0,France,84,72000,83.0,82.0,80.0,83.0,86.0,https://cdn.sofifa.org/players/4/19/204970.png,https://cdn.sofifa.org/flags/18.png
123,204963,Carvajal,26.0,Spain,84,185000,82.0,77.0,57.0,81.0,83.0,https://cdn.sofifa.org/players/4/19/204963.png,https://cdn.sofifa.org/flags/45.png
124,202556,M. Depay,24.0,Netherlands,84,93000,79.0,79.0,82.0,80.0,85.0,https://cdn.sofifa.org/players/4/19/202556.png,https://cdn.sofifa.org/flags/34.png
125,200104,H. Son,25.0,Korea Republic,84,125000,84.0,82.0,80.0,79.0,85.0,https://cdn.sofifa.org/players/4/19/200104.png,https://cdn.sofifa.org/flags/167.png
126,199482,A. Lopes,27.0,Portugal,84,72000,84.0,65.0,48.0,32.0,21.0,https://cdn.sofifa.org/players/4/19/199482.png,https://cdn.sofifa.org/flags/38.png
127,198176,S. de Vrij,26.0,Netherlands,84,88000,80.0,82.0,59.0,71.0,71.0,https://cdn.sofifa.org/players/4/19/198176.png,https://cdn.sofifa.org/flags/34.png
128,198009,M. Perin,25.0,Italy,84,105000,79.0,65.0,44.0,33.0,23.0,https://cdn.sofifa.org/players/4/19/198009.png,https://cdn.sofifa.org/flags/27.png
129,193082,J. Cuadrado,30.0,Colombia,84,150000,80.0,80.0,76.0,80.0,85.0,https://cdn.sofifa.org/players/4/19/193082.png,https://cdn.sofifa.org/flags/56.png
130,192629,Iago Aspas,30.0,Spain,84,45000,85.0,85.0,75.0,79.0,85.0,https://cdn.sofifa.org/players/4/19/192629.png,https://cdn.sofifa.org/flags/45.png
131,192563,B. Leno,26.0,Germany,84,115000,80.0,66.0,54.0,45.0,22.0,https://cdn.sofifa.org/players/4/19/192563.png,https://cdn.sofifa.org/flags/21.png
132,191202,N. Matić,29.0,Serbia,84,165000,83.0,84.0,73.0,84.0,79.0,https://cdn.sofifa.org/players/4/19/191202.png,https://cdn.sofifa.org/flags/51.png
133,190941,L. Hrádecký,28.0,Finland,84,74000,83.0,48.0,53.0,15.0,20.0,https://cdn.sofifa.org/players/4/19/190941.png,https://cdn.sofifa.org/flags/17.png
134,190584,Illarramendi,28.0,Spain,84,51000,84.0,79.0,86.0,86.0,83.0,https://cdn.sofifa.org/players/4/19/190584.png,https://cdn.sofifa.org/flags/45.png
135,188377,K. Walker,28.0,England,84,165000,83.0,75.0,69.0,78.0,78.0,https://cdn.sofifa.org/players/4/19/188377.png,https://cdn.sofifa.org/flags/14.png
136,186942,I. Gündoğan,27.0,Germany,84,175000,85.0,87.0,86.0,88.0,86.0,https://cdn.sofifa.org/players/4/19/186942.png,https://cdn.sofifa.org/flags/21.png
137,185020,José Callejón,31.0,Spain,84,105000,82.0,79.0,78.0,80.0,85.0,https://cdn.sofifa.org/players/4/19/185020.png,https://cdn.sofifa.org/flags/45.png
138,183898,A. Di María,30.0,Argentina,84,125000,80.0,82.0,82.0,82.0,85.0,https://cdn.sofifa.org/players/4/19/183898.png,https://cdn.sofifa.org/flags/52.png
139,181783,M. Mandžukić,32.0,Croatia,84,160000,86.0,80.0,74.0,75.0,77.0,https://cdn.sofifa.org/players/4/19/181783.png,https://cdn.sofifa.org/flags/10.png
140,180403,Willian,29.0,Brazil,84,175000,82.0,79.0,83.0,80.0,84.0,https://cdn.sofifa.org/players/4/19/180403.png,https://cdn.sofifa.org/flags/54.png
141,178750,Sergio Asenjo,29.0,Spain,84,42000,79.0,64.0,46.0,39.0,14.0,https://cdn.sofifa.org/players/4/19/178750.png,https://cdn.sofifa.org/flags/45.png
142,178562,E. Banega,30.0,Argentina,84,31000,77.0,80.0,88.0,88.0,86.0,https://cdn.sofifa.org/players/4/19/178562.png,https://cdn.sofifa.org/flags/52.png
143,177413,A. Witsel,29.0,Belgium,84,77000,84.0,89.0,79.0,89.0,84.0,https://cdn.sofifa.org/players/4/19/177413.png,https://cdn.sofifa.org/flags/7.png
144,177388,D. Payet,31.0,France,84,75000,75.0,82.0,87.0,84.0,90.0,https://cdn.sofifa.org/players/4/19/177388.png,https://cdn.sofifa.org/flags/18.png
145,176769,Jonas,34.0,Brazil,84,25000,85.0,87.0,83.0,76.0,88.0,https://cdn.sofifa.org/players/4/19/176769.png,https://cdn.sofifa.org/flags/54.png
146,172879,Sokratis,30.0,Greece,84,140000,81.0,82.0,45.0,60.0,58.0,https://cdn.sofifa.org/players/4/19/172879.png,https://cdn.sofifa.org/flags/22.png
147,167628,S. Ruffier,31.0,France,84,41000,78.0,66.0,49.0,33.0,15.0,https://cdn.sofifa.org/players/4/19/167628.png,https://cdn.sofifa.org/flags/18.png
148,167397,Falcao,32.0,Colombia,84,115000,85.0,87.0,70.0,79.0,82.0,https://cdn.sofifa.org/players/4/19/167397.png,https://cdn.sofifa.org/flags/56.png
149,163587,K. Schmeichel,31.0,Denmark,84,78000,81.0,67.0,59.0,44.0,40.0,https://cdn.sofifa.org/players/4/19/163587.png,https://cdn.sofifa.org/flags/13.png
150,157481,Raúl Albiol,32.0,Spain,84,88000,82.0,75.0,57.0,74.0,71.0,https://cdn.sofifa.org/players/4/19/157481.png,https://cdn.sofifa.org/flags/45.png
151,143076,A. Gómez,30.0,Argentina,84,53000,83.0,84.0,85.0,82.0,87.0,https://cdn.sofifa.org/players/4/19/143076.png,https://cdn.sofifa.org/flags/52.png
152,137186,A. Barzagli,37.0,Italy,84,95000,80.0,88.0,62.0,65.0,65.0,https://cdn.sofifa.org/players/4/19/137186.png,https://cdn.sofifa.org/flags/27.png
153,20775,Quaresma,34.0,Portugal,84,80000,78.0,80.0,84.0,79.0,88.0,https://cdn.sofifa.org/players/4/19/20775.png,https://cdn.sofifa.org/flags/38.png
154,9014,A. Robben,34.0,Netherlands,84,110000,85.0,85.0,80.0,82.0,88.0,https://cdn.sofifa.org/players/4/19/9014.png,https://cdn.sofifa.org/flags/34.png
